Long_sample_name,Sample,Antibiotic,Experiment,Day,Group,Mouse
socan,socanspec,spec,LB036,None,None,None
tet,tet,none,LB036,None,None,None
tet,tetspec,spec,LB036,None,None,None
CuredB1,CuredB1,none,LB039,None,None,None
CuredL2,CuredL2,spec,LB039,None,None,None
CuredS1,CuredS1,none,LB039,None,None,None
CuredS2,CuredS2,spec,LB039,None,None,None
CuredS3,CuredS3,none,LB039,None,None,None
D284,D284,spec,Schuur02,2,,
D284,D284S,none,Schuur02,2,,
D285,D285,spec,Schuur02,2,,
D285,D285S,none,Schuur02,2,,
D286,D286,spec,Schuur02,2,,
D286,D286S,none,Schuur02,2,,
D287,D287,spec,Schuur02,2,,
D287,D287S,none,Schuur02,2,,
D290,D290,spec,Schuur02,2,,
D290,D290S,none,Schuur02,2,,
D291,D291,spec,Schuur02,2,,
D291,D291S,none,Schuur02,2,,
D297,D297,spec,Schuur02,2,,
D297,D297S,none,Schuur02,2,,
D298,D298,spec,Schuur02,2,,
D298,D298S,none,Schuur02,2,,
D384,D384,spec,Schuur02,3,,
D384,D384S,none,Schuur02,3,,
D385,D385,spec,Schuur02,3,,
D385,D385S,none,Schuur02,3,,
D386,D386,spec,Schuur02,3,,
D386,D386S,none,Schuur02,3,,
D387,D387,spec,Schuur02,3,,
D387,D387S,none,Schuur02,3,,
D390,D390,spec,Schuur02,3,,
D390,D390S,none,Schuur02,3,,
D391,D391,spec,Schuur02,3,,
D391,D391S,none,Schuur02,3,,
D397,D397,spec,Schuur02,3,,
D397,D397S,none,Schuur02,3,,
D398,D398,spec,Schuur02,3,,
D398,D398S,none,Schuur02,3,,
PickedS1_S3,PickedS1_S3,none,LB039,None,None,None
PlasmidB1,PlasmidB1,none,LB039,None,None,None
PlasmidL2,PlasmidL2,none,LB039,None,None,None
PlasmidS1,PlasmidS1,none,LB039,None,None,None
PlasmidS2,PlasmidS2,none,LB039,None,None,None
PlasmidS3,PlasmidS3,none,LB039,None,None,None
SchuurG,SchuurG,none,Schuur02,0,,
SchuurG,SchuurGS,spec,Schuur02,0,,
